# nJobs | nMachines 
50	20
# m1 | m2 | m3 | m4 | m5...
21	25	21	25	22	24	21	21	22	22	21	22	22	22	22	24	25	21	21	24	
29	31	31	29	31	30	29	29	31	29	30	30	31	31	30	30	29	31	29	30	
45	40	47	45	45	43	47	45	48	43	47	43	50	41	50	45	46	48	41	47	
28	19	29	24	20	23	23	28	24	29	27	23	21	25	24	26	25	22	21	23	
50	50	53	52	53	49	49	52	52	52	49	50	50	51	53	51	51	53	52	49	
32	28	28	28	28	32	30	23	25	33	24	33	28	24	31	27	23	32	33	28	
19	20	19	22	17	16	22	22	22	18	19	16	21	17	18	20	22	19	16	17	
58	52	49	57	56	51	56	49	51	50	53	58	50	52	54	54	51	51	49	57	
45	47	46	44	45	43	44	47	45	47	44	45	47	43	45	47	44	45	44	43	
46	43	46	46	45	41	46	45	45	42	44	41	41	41	42	46	47	42	46	46	
32	29	30	27	29	30	33	30	29	28	30	33	31	33	29	31	27	30	27	33	
30	31	31	31	30	31	29	30	31	31	31	29	30	29	31	29	30	29	29	29	
42	41	38	39	39	39	46	46	39	42	41	42	38	45	38	44	43	38	39	44	
16	20	17	19	18	19	17	20	16	20	18	20	18	20	17	20	18	20	16	20	
25	26	25	25	24	24	26	25	24	25	25	24	26	26	26	24	25	24	24	25	
46	49	43	43	49	46	45	46	45	45	41	43	49	48	47	41	49	41	44	42	
28	28	30	30	28	28	30	29	30	30	29	28	29	28	29	29	29	30	28	28	
66	63	61	67	62	68	60	64	63	62	61	65	60	60	66	65	62	66	61	66	
27	25	32	27	33	31	25	30	26	25	23	24	33	29	33	31	31	33	26	24	
70	65	69	66	66	69	66	67	69	67	65	62	63	66	64	64	61	71	65	66	
46	47	47	47	48	48	48	48	47	46	46	46	46	47	46	46	46	46	47	48	
59	59	61	61	59	61	60	58	59	61	59	57	57	61	59	58	57	57	60	57	
62	66	62	61	67	61	65	64	62	61	65	67	66	61	66	65	61	63	66	61	
25	23	24	23	23	23	24	25	23	23	24	25	23	25	23	25	25	23	23	23	
26	33	26	27	25	25	30	26	29	27	29	25	28	25	29	33	28	30	30	27	
32	29	34	28	31	34	31	35	32	29	33	28	34	34	33	31	33	34	28	33	
60	56	60	61	62	55	57	62	61	55	62	60	62	63	58	61	58	55	57	58	
20	21	19	20	21	20	20	21	19	20	20	21	20	20	21	21	21	20	21	21	
56	56	55	55	55	54	56	55	56	54	56	55	55	55	55	54	54	55	54	54	
67	67	68	66	68	68	68	66	67	68	66	67	66	68	66	67	66	66	68	67	
59	61	61	56	60	61	56	55	58	56	61	54	59	56	59	56	61	62	55	56	
61	57	64	64	61	58	64	58	56	64	65	57	63	63	63	59	61	60	58	57	
21	22	21	19	20	21	22	20	23	21	19	19	19	20	20	20	23	20	20	21	
47	47	46	47	46	46	46	46	47	47	46	48	48	47	48	48	46	48	46	48	
28	34	29	37	27	27	37	30	35	33	30	36	36	31	29	30	28	31	29	33	
47	49	48	45	48	45	47	48	45	46	51	51	50	48	48	48	50	49	48	45	
33	32	34	34	33	34	33	32	32	32	32	34	32	34	34	34	34	32	32	33	
46	45	47	50	49	44	45	46	43	52	46	43	51	44	42	46	48	49	49	46	
54	54	54	54	53	54	54	53	55	54	53	54	54	54	55	53	55	55	54	54	
40	39	37	38	38	38	39	37	40	41	39	38	38	40	39	38	39	37	37	40	
65	64	65	65	60	60	62	57	63	59	63	63	61	60	61	60	62	65	60	57	
60	57	61	61	60	58	60	61	57	58	59	57	57	60	59	58	61	57	61	61	
65	64	67	67	67	67	67	66	67	63	66	69	66	66	63	68	67	64	63	66	
25	25	26	25	27	25	27	26	25	26	25	27	26	27	27	25	25	27	27	26	
59	59	55	59	58	58	57	55	56	56	55	55	56	59	55	55	59	59	59	55	
69	64	69	69	66	69	64	64	69	69	69	67	67	64	64	63	68	68	69	65	
20	17	19	16	20	20	19	18	16	19	20	19	16	17	19	20	19	17	18	16	
39	40	38	40	38	39	38	39	39	40	38	39	39	39	38	39	39	39	40	38	
20	20	21	21	21	20	19	21	19	19	19	21	20	19	21	21	21	19	21	20	
59	59	58	62	62	64	65	62	63	63	63	57	64	59	64	61	59	61	60	60	
