U118,V078,3
U106,V091,2
U042,V057,5
U039,V031,0
U054,V083,3
U172,V070,5
U144,V067,1
U093,V097,3
U037,V058,1
U002,V082,0
U083,V077,2
U136,V081,5
U109,V016,5
U100,V006,2
U098,V077,4
U088,V063,4
U171,V071,3
U106,V053,0
U130,V049,0
U135,V067,5
U064,V017,1
U148,V030,4
U133,V008,1
U060,V070,1
U140,V093,2
U077,V080,2
U196,V004,1
U023,V047,1
U193,V091,3
U170,V032,1
U159,V047,3
U014,V046,2
U059,V059,0
U184,V072,1
U102,V049,0
U141,V046,2
U101,V058,2
U135,V047,5
U184,V088,3
U131,V036,0
U011,V072,1
U143,V040,5
U051,V021,5
U059,V098,1
U028,V037,5
U127,V078,2
U082,V092,5
U197,V068,4
U171,V086,5
U091,V034,5
U096,V034,1
U188,V094,3
U040,V069,0
U058,V096,0
U067,V047,3
U108,V050,1
U153,V078,0
U011,V002,3
U132,V020,1
U115,V023,3
U143,V003,4
U192,V042,1
U116,V039,5
U123,V004,4
U162,V081,2
U044,V008,1
U004,V092,5
U012,V031,4
U073,V015,1
U198,V097,2
U097,V060,4
U175,V079,3
U149,V046,4
U079,V056,2
U008,V025,1
U067,V019,0
U002,V001,3
U196,V023,0
U028,V086,1
U039,V089,1
U107,V072,1
U052,V058,1
U007,V093,0
U064,V034,3
U129,V051,3
U022,V042,3
U169,V042,0
U189,V082,4
U033,V080,2
U101,V060,4
U071,V016,3
U121,V051,1
U004,V080,5
U165,V068,4
U166,V041,4
U154,V006,4
U044,V032,2
U084,V095,4
U153,V023,4
U152,V048,0
U187,V051,2
U059,V054,1
U129,V053,2
U160,V084,4
U123,V064,1
U002,V014,0
U076,V028,4
U128,V008,1
U130,V008,3
U098,V049,5
U110,V068,0
U068,V042,0
U165,V074,2
U120,V029,3
U126,V027,3
U153,V050,1
U073,V051,1
U109,V096,3
U044,V045,4
U079,V037,1
U153,V086,2
U048,V007,3
U031,V011,5
U092,V007,1
U190,V011,4
U072,V042,4
U148,V058,0
U138,V042,2
U198,V063,1
U182,V092,1
U180,V021,4
U052,V087,2
U049,V067,3
U039,V077,1
U059,V028,1
U061,V065,2
U038,V011,0
U005,V085,1
U006,V059,1
U170,V011,0
U087,V053,4
U060,V017,2
U087,V096,1
U159,V008,2
U100,V027,5
U130,V060,3
U118,V071,4
U001,V078,4
U177,V032,0
U148,V048,1
U074,V003,4
U091,V054,1
U034,V090,2
U173,V020,0
U139,V080,4
